county 	Searcy County	AR		8195
county 	Sebastian County	AR		125744
county 	Sevier County	AR		17058
county 	Sharp County	AR		17264
county 	Stone County	AR		12394
county 	Union County	AR		41639
county 	Van Buren County	AR		17295
county 	Washington County	AR		203065
county 	White County	AR		77076
county 	Woodruff County	AR		7260
county 	Yell County	AR		22185
county 	Alameda County	CA		1510271
county 	Alpine County	CA		1175
county 	Amador County	CA		38091
county 	Butte County	CA		220000
county 	Calaveras County	CA		45578
county 	Colusa County	CA		21419
county 	Contra Costa County	CA		1049025
county 	Del Norte County	CA		28610
county 	El Dorado County	CA		181058
county 	Fresno County	CA		930450
county 	Glenn County	CA		28122
county 	Humboldt County	CA		134623
county 	Imperial County	CA		174528
county 	Inyo County	CA		18546
county 	Kern County	CA		839631
county 	Kings County	CA		152982
county 	Lake County	CA		64665
county 	Lassen County	CA		34895
county 	Los Angeles County	CA		9818605
county 	Madera County	CA		150865
county 	Marin County	CA		252409
county 	Mariposa County	CA		18251
county 	Mendocino County	CA		87841
county 	Merced County	CA		255793
county 	Modoc County	CA		9686
county 	Mono County	CA		14202
county 	Monterey County	CA		415057
county 	Napa County	CA		136484
county 	Nevada County	CA		98764
county 	Orange County	CA		3010232
county 	Placer County	CA		348432
county 	Plumas County	CA		20007
county 	Riverside County	CA		2189641
county 	Sacramento County	CA		1418788
county 	San Benito County	CA		55269
county 	San Bernardino County	CA		2035210
county 	San Diego County	CA		3095313
county 	San Francisco County	CA		805235
county 	San Joaquin County	CA		685306
county 	San Luis Obispo County	CA		269637
county 	San Mateo County	CA		718451
county 	Santa Barbara County	CA		423895
county 	Santa Clara County	CA		1781642
county 	Santa Cruz County	CA		262382
county 	Shasta County	CA		177223
county 	Sierra County	CA		3240
county 	Siskiyou County	CA		44900
county 	Solano County	CA		413344
county 	Sonoma County	CA		483878
county 	Stanislaus County	CA		514453
county 	Sutter County	CA		94737
county 	Tehama County	CA		63463
county 	Trinity County	CA		13786
county 	Tulare County	CA		442179
county 	Tuolumne County	CA		55365
county 	Ventura County	CA		823318
county 	Yolo County	CA		200849
county 	Yuba County	CA		72155
county 	Adams County	CO		441603
county 	Alamosa County	CO		15445
county 	Arapahoe County	CO		572003
county 	Archuleta County	CO		12084
county 	Baca County	CO		3788
county 	Bent County	CO		6499
county 	Boulder County	CO		294567
county 	Broomfield County	CO		55889
county 	Chaffee County	CO		17809
county 	Cheyenne County	CO		1836
county 	Clear Creek County	CO		9088
county 	Conejos County	CO		8256
county 	Costilla County	CO		3524
county 	Crowley County	CO		5823
county 	Custer County	CO		4255
county 	Delta County	CO		30952
county 	Denver County	CO		600158
county 	Dolores County	CO		2064
county 	Douglas County	CO		285465
county 	Eagle County	CO		52197
county 	Elbert County	CO		23086
county 	El Paso County	CO		622263
county 	Fremont County	CO		46824
county 	Garfield County	CO		56389
county 	Gilpin County	CO		5441
county 	Grand County	CO		14843
county 	Gunnison County	CO		15324
county 	Hinsdale County	CO		843
county 	Huerfano County	CO		6711
county 	Jackson County	CO		1394
county 	Jefferson County	CO		534543
county 	Kiowa County	CO		1398
county 	Kit Carson County	CO		8270
county 	Lake County	CO		7310
county 	La Plata County	CO		51334
county 	Larimer County	CO		299630
county 	Las Animas County	CO		15507
county 	Lincoln County	CO		5467
county 	Logan County	CO		22709
county 	Mesa County	CO		146723
county 	Mineral County	CO		712
county 	Moffat County	CO		13795
county 	Montezuma County	CO		25535
county 	Montrose County	CO		41276
county 	Morgan County	CO		28159
county 	Otero County	CO		18831
county 	Ouray County	CO		4436
county 	Park County	CO		16206
county 	Phillips County	CO		4442
county 	Pitkin County	CO		17148
county 	Prowers County	CO		12551
county 	Pueblo County	CO		159063
county 	Rio Blanco County	CO		6666
county 	Rio Grande County	CO		11982
county 	Routt County	CO		23509
county 	Saguache County	CO		6108
county 	San Juan County	CO		699
county 	San Miguel County	CO		7359
county 	Sedgwick County	CO		2379
county 	Summit County	CO		27994
county 	Teller County	CO		23350
county 	Washington County	CO		4814
county 	Weld County	CO		252825
county 	Yuma County	CO		10043
county 	Fairfield County	CT		916829
county 	Hartford County	CT		894014
county 	Litchfield County	CT		189927
county 	Middlesex County	CT		165676
county 	New Haven County	CT		862477
county 	New London County	CT		274055
county 	Tolland County	CT		152691
county 	Windham County	CT		118428
county 	Kent County	DE		162310
county 	New Castle County	DE		538479
county 	Sussex County	DE		197145
county 	District of Columbia	DC		601723
county 	Alachua County	FL		247336
county 	Baker County	FL		27115
county 	Bay County	FL		168852
county 	Bradford County	FL		28520
county 	Brevard County	FL		543376
county 	Broward County	FL		1748066
county 	Calhoun County	FL		14625
county 	Charlotte County	FL		159978
county 	Citrus County	FL		141236
county 	Clay County	FL		190865
county 	Collier County	FL		321520
county 	Columbia County	FL		67531
county 	DeSoto County	FL		34862
county 	Dixie County	FL		16422
county 	Duval County	FL		864263
county 	Escambia County	FL		297619
county 	Flagler County	FL		95696
county 	Franklin County	FL		11549
county 	Gadsden County	FL		46389
county 	Gilchrist County	FL		16939
county 	Glades County	FL		12884
county 	Gulf County	FL		15863
county 	Hamilton County	FL		14799
county 	Hardee County	FL		27731
county 	Hendry County	FL		39140
county 	Hernando County	FL		172778
county 	Highlands County	FL		98786
county 	Hillsborough County	FL		1229226
county 	Holmes County	FL		19927
county 	Indian River County	FL		138028
county 	Jackson County	FL		49746
county 	Jefferson County	FL		14761
county 	Lafayette County	FL		8870
county 	Lake County	FL		297052
county 	Lee County	FL		618754
county 	Leon County	FL		275487
county 	Levy County	FL		40801
county 	Liberty County	FL		8365
county 	Madison County	FL		19224
county 	Manatee County	FL		322833
county 	Marion County	FL		331298
county 	Martin County	FL		146318
county 	Miami-Dade County	FL		2496435
