Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
Perryville		MO		8419	Urban Cluster	n
	Perryville	MO	8225		city 	n
Bellevue		OH		8413	Urban Cluster	n
	Bellevue	OH	8202		city 	n
Port Townsend		WA		8400	Urban Cluster	Y
	Port Townsend	WA	9113		city 	Y
Gridley		CA		8393	Urban Cluster	n
	Gridley	CA	6584		city 	n
Twentynine Palms Base		CA		8384	Urban Cluster	Y
Medina		NY		8382	Urban Cluster	Y
	Medina	NY	6065		village 	Y
Cortez		CO		8380	Urban Cluster	n
	Cortez	CO	8482		city 	n
Aurora		MO		8365	Urban Cluster	Y
	Aurora	MO	7508		city 	Y
Kenton		OH		8360	Urban Cluster	Y
	Kenton	OH	8262		city 	Y
Savannah		TN		8347	Urban Cluster	Y
	Savannah	TN	6982		city 	Y
Crawfordville		FL		8342	Urban Cluster	n
	Crawfordville	FL	3702		CDP 	n
Geneseo		NY		8329	Urban Cluster	n
	Geneseo	NY	8031		village 	n
Hillsboro		TX		8328	Urban Cluster	n
	Hillsboro	TX	8456		city 	n
South Boston		VA		8306	Urban Cluster	Y
	South Boston	VA	8142		town 	Y
Houghton Lake		MI		8300	Urban Cluster	n
	Houghton Lake	MI	3427		CDP 	p
Salem		IL		8300	Urban Cluster	Y
	Salem	IL	7485		city 	Y
Gaylord		MI		8298	Urban Cluster	n
	Gaylord	MI	3645		city 	n
Osceola		AR		8280	Urban Cluster	Y
	Osceola	AR	7757		city 	Y
New Richmond		WI		8275	Urban Cluster	y
	New Richmond	WI	8375		city 	y
Navasota		TX		8273	Urban Cluster	n
	Navasota	TX	7049		city 	n
Norwich		NY		8265	Urban Cluster	Y
	Norwich	NY	7190		city 	Y
Nantucket		MA		8250	Urban Cluster	Y
	Nantucket	MA	7446		CDP 	Y
Denison		IA		8240	Urban Cluster	n
	Denison	IA	8298		city 	n
Big Stone Gap		VA		8240	Urban Cluster	y
	Big Stone Gap	VA	5614		town 	y
Kennebunk		ME		8240	Urban Cluster	n
	Kennebunk	ME	5214		CDP 	n
Colorado City		AZ/UT		8233	Urban Cluster	y
	Colorado City	AZ	4821		town 	y
Vieques (Vieques Municipio)		PR		8230	Urban Cluster	Y
Omak		WA		8229	Urban Cluster	n
	Omak	WA	4845		city 	n
Holly		MI		8229	Urban Cluster	Y
	Holly	MI	6086		village 	Y
Petoskey		MI		8210	Urban Cluster	n
	Petoskey	MI	5670		city 	n
Kirtland		NM		8200	Urban Cluster	n
	Kirtland	NM	7875		CDP 	n
Guthrie		OK		8191	Urban Cluster	Y
	Guthrie	OK	10191		city 	Y
La Junta		CO		8191	Urban Cluster	y
	La Junta	CO	7077		city 	y
Sallisaw		OK		8179	Urban Cluster	n
	Sallisaw	OK	8880		city 	n
Gonzales		CA		8174	Urban Cluster	Y
	Gonzales	CA	8187		city 	Y
Brandon		SD		8173	Urban Cluster	Y
	Brandon	SD	8785		city 	Y
Livingston		MT		8172	Urban Cluster	Y
	Livingston	MT	7044		city 	Y
Albion		NY		8171	Urban Cluster	Y
	Albion	NY	6056		village 	Y
Stuarts Draft		VA		8168	Urban Cluster	y
	Stuarts Draft	VA	9235		CDP 	y
Cheraw		SC		8160	Urban Cluster	n
	Cheraw	SC	5851		town 	n
Antigo		WI		8158	Urban Cluster	n
	Antigo	WI	8234		city 	n
Eaton		OH		8112	Urban Cluster	Y
	Eaton	OH	8407		city 	Y
Zimmerman		MN		8110	Urban Cluster	Y
	Zimmerman	MN	5228		city 	Y
Columbiana		OH		8101	Urban Cluster	n
	Columbiana	OH	6384		city 	n
Cuero		TX		8099	Urban Cluster	n
	Cuero	TX	6841		city 	n
Logan		OH		8080	Urban Cluster	Y
	Logan	OH	7152		city 	Y
Rio Bravo/El Cenizo		TX		8067	Urban Cluster	p
	Rio Bravo	TX	4794		city 	y
	El Cenizo	TX	3273		city 	n
Willits		CA		8053	Urban Cluster	n
	Willits	CA	4888		city 	n
Pleasant Hill		MO		8049	Urban Cluster	y
	Pleasant Hill	MO	8113		city 	y
Lee		MA		8049	Urban Cluster	Y
	Lee	MA	2051		CDP 	Y
Wagoner		OK		8043	Urban Cluster	y
	Wagoner	OK	8323		city 	y
Princeton		IL		8043	Urban Cluster	Y
	Princeton	IL	7660		city 	Y
Fabens		TX		8042	Urban Cluster	n
	Fabens	TX	8257		CDP 	n
Chardon		OH		8028	Urban Cluster	n
	Chardon	OH	5148		city 	n
Bonadelle Ranchos-Madera Ranchos		CA		8024	Urban Cluster	n
	Bonadelle Ranchos-Madera Ranchos	CA	8569		CDP 	n
Arab		AL		8012	Urban Cluster	Y
	Arab	AL	8050		city 	Y
Madras		OR		8010	Urban Cluster	Y
	Madras	OR	6046		city 	Y
Sultan		WA		7982	Urban Cluster	y
	Sultan	WA	4651		city 	y
Detroit Lakes		MN		7973	Urban Cluster	y
	Detroit Lakes	MN	8569		city 	y
Oberlin		OH		7966	Urban Cluster	Y
	Oberlin	OH	8286		city 	Y
Crookston		MN		7964	Urban Cluster	n
	Crookston	MN	7891		city 	n
Marion		VA		7960	Urban Cluster	Y
	Marion	VA	5968		town 	Y
New Roads		LA		7947	Urban Cluster	y
	New Roads	LA	4831		city 	y
Clear Lake		IA		7944	Urban Cluster	y
	Clear Lake	IA	7777		city 	y
Indianola		WA		7938	Urban Cluster	n
	Indianola	WA	3500		CDP 	n
Pikeville		KY		7936	Urban Cluster	n
	Pikeville	KY	6903		city 	n
York		SC		7931	Urban Cluster	Y
	York	SC	7736		city 	Y
Ripon		WI		7930	Urban Cluster	n
	Ripon	WI	7733		city 	n
Lake of the Pines		CA		7926	Urban Cluster	y
	Lake of the Pines	CA	3917		CDP 	y
Truth or Consequences		NM		7918	Urban Cluster	y
	Truth or Consequences	NM	6475		city 	y
Fort Scott		KS		7895	Urban Cluster	y
	Fort Scott	KS	8087		city 	y
Robinson		IL		7894	Urban Cluster	Y
	Robinson	IL	7713		city 	Y
Box Elder		SD		7885	Urban Cluster	y
	Box Elder	SD	7800		city 	y
Oakdale		LA		7878	Urban Cluster	n
	Oakdale	LA	7780		city 	n
Monticello		NY		7868	Urban Cluster	Y
	Monticello	NY	6726		village 	Y
Diamondhead		MS		7855	Urban Cluster	n
	Diamondhead	MS	8425		CDP 	n
New Prague		MN		7850	Urban Cluster	y
	New Prague	MN	7321		city 	y
Delta		CO		7849	Urban Cluster	Y
	Delta	CO	8915		city 	Y
Blair		NE		7844	Urban Cluster	Y
	Blair	NE	7990		city 	Y
Crossett		AR		7835	Urban Cluster	n
	Crossett	AR	5507		city 	n
Ione		CA		7820	Urban Cluster	n
	Ione	CA	7918		city 	n
Ashland		PA		7820	Urban Cluster	n
	Ashland	PA	2817		borough 	n
Lamar		CO		7796	Urban Cluster	Y
	Lamar	CO	7804		city 	Y
Poteau		OK		7791	Urban Cluster	n
	Poteau	OK	8520		city 	n
Jasper		TX		7790	Urban Cluster	Y
	Jasper	TX	7590		city 	Y
Wellington		KS		7783	Urban Cluster	Y
	Wellington	KS	8172		city 	Y
Benton		IL		7778	Urban Cluster	Y
	Benton	IL	7087		city 	Y
Webster City		IA		7761	Urban Cluster	y
	Webster City	IA	8070		city 	y
Philadelphia		MS		7759	Urban Cluster	Y
	Philadelphia	MS	7477		city 	Y
Waupaca		WI		7755	Urban Cluster	n
	Waupaca	WI	6069		city 	n
Mount Shasta/Weed		CA		7746	Urban Cluster	y
	Mount Shasta	CA	3394		city 	Y
	Weed	CA	2967		city 	y
Pulaski		TN		7741	Urban Cluster	Y
	Pulaski	TN	7870		city 	Y
Batesville		IN		7734	Urban Cluster	n
	Batesville	IN	6520		city 	n
Prairie du Sac/Sauk City		WI		7733	Urban Cluster	p
	Prairie du Sac	WI	3972		village 	y
	Sauk City	WI	3410		village 	p
Marengo		IL		7731	Urban Cluster	n
	Marengo	IL	7648		city 	n
Wynne		AR		7722	Urban Cluster	n
	Wynne	AR	8367		city 	n
Commerce		TX		7717	Urban Cluster	y
	Commerce	TX	8078		city 	y
Dalhart		TX		7716	Urban Cluster	n
	Dalhart	TX	7930		city 	n
Hastings		MI		7713	Urban Cluster	Y
	Hastings	MI	7350		city 	Y
Aspen		CO		7710	Urban Cluster	Y
	Aspen	CO	6658		city 	Y
Charles City		IA		7706	Urban Cluster	y
	Charles City	IA	7652		city 	y
Saranac Lake		NY		7698	Urban Cluster	n
	Saranac Lake	NY	5406		village 	p
Mammoth Lakes		CA		7693	Urban Cluster	y
	Mammoth Lakes	CA	8234		town 	y
Monahans		TX		7686	Urban Cluster	n
	Monahans	TX	6953		city 	n
Marshall		MI		7683	Urban Cluster	Y
	Marshall	MI	7088		city 	Y
Tillamook		OR		7675	Urban Cluster	n
	Tillamook	OR	4935		city 	n
Geneva		OH		7660	Urban Cluster	Y
	Geneva	OH	6215		city 	Y
Rockmart		GA		7646	Urban Cluster	n
	Rockmart	GA	4199		city 	n
New London		WI		7643	Urban Cluster	y
	New London	WI	7295		city 	y
York		NE		7633	Urban Cluster	Y
	York	NE	7766		city 	Y
Perry		IA		7628	Urban Cluster	Y
	Perry	IA	7702		city 	Y
Frostproof		FL		7626	Urban Cluster	n
	Frostproof	FL	2992		city 	n
Orangetree		FL		7624	Urban Cluster	n
	Orangetree	FL	4406		CDP 	n
Tyrone		PA		7622	Urban Cluster	Y
	Tyrone	PA	5477		borough 	Y
Creston		IA		7617	Urban Cluster	n
	Creston	IA	7834		city 	n
Wapato		WA		7607	Urban Cluster	n
	Wapato	WA	4997		city 	n
West Tawakoni		TX		7606	Urban Cluster	n
	West Tawakoni	TX	1576		city 	p
Robertsdale		AL		7601	Urban Cluster	n
	Robertsdale	AL	5276		city 	n
Yreka		CA		7598	Urban Cluster	n
	Yreka	CA	7765		city 	n
McCook		NE		7563	Urban Cluster	n
	McCook	NE	7698		city 	n
Big Pine Key		FL		7540	Urban Cluster	y
	Big Pine Key	FL	4252		CDP 	y
Yulee		FL		7534	Urban Cluster	n
	Yulee	FL	11491		CDP 	n
Marksville		LA		7517	Urban Cluster	n
	Marksville	LA	5702		city 	n
Milan		MI		7514	Urban Cluster	Y
	Milan	MI	5836		city 	Y
Bay Minette		AL		7486	Urban Cluster	n
	Bay Minette	AL	8044		city 	p
Swainsboro		GA		7484	Urban Cluster	n
	Swainsboro	GA	7277		city 	n
Woodlake		CA		7465	Urban Cluster	n
	Woodlake	CA	7279		city 	n
Marion		SC		7464	Urban Cluster	Y
	Marion	SC	6939		city 	Y
Rancho Calaveras/Valley Springs		CA		7457	Urban Cluster	p
	Rancho Calaveras	CA	5325		CDP 	n
	Valley Springs	CA	3553		CDP 	y
Whiteville		NC		7446	Urban Cluster	n
	Whiteville	NC	5394		city 	n
Devils Lake		ND		7444	Urban Cluster	y
	Devils Lake	ND	7141		city 	y
Hazard		KY		7444	Urban Cluster	y
	Hazard	KY	4456		city 	y
Delphos		OH		7440	Urban Cluster	n
	Delphos	OH	7101		city 	n
Lemoore Station		CA		7438	Urban Cluster	n
	Lemoore Station	CA	7438		CDP 	p
Pembroke		NC		7436	Urban Cluster	Y
	Pembroke	NC	2973		town 	Y
New Bremen/Minster		OH		7431	Urban Cluster	y
	New Bremen	OH	2978		village 	y
	Minster	OH	2805		village 	y
Milan		TN		7427	Urban Cluster	Y
	Milan	TN	7851		city 	Y
Waverly City		OH		7396	Urban Cluster	n
	Waverly City	OH	4408		city 	p
Seville		OH		7396	Urban Cluster	Y
	Seville	OH	2296		village 	Y
Kearney		MO		7368	Urban Cluster	n
	Kearney	MO	8381		city 	n
Mascoutah		IL		7368	Urban Cluster	n
	Mascoutah	IL	7483		city 	n
LaFayette		GA		7364	Urban Cluster	y
	LaFayette	GA	7121		city 	y
Berrien Springs		MI		7358	Urban Cluster	n
	Berrien Springs	MI	1800		village 	p
Knoxville		IA		7346	Urban Cluster	Y
	Knoxville	IA	7313		city 	Y
Willows		CA		7346	Urban Cluster	y
	Willows	CA	6166		city 	y
Richfield		UT		7340	Urban Cluster	n
	Richfield	UT	7551		city 	n
Laurium		MI		7325	Urban Cluster	n
	Laurium	MI	1977		village 	n
Florence		CO		7314	Urban Cluster	Y
	Florence	CO	3881		city 	Y
Clarksville		AR		7313	Urban Cluster	n
	Clarksville	AR	9178		city 	n
Vandalia		IL		7309	Urban Cluster	n
	Vandalia	IL	7042		city 	n
Batesville		MS		7309	Urban Cluster	n
	Batesville	MS	7463		city 	n
Rochester		IN		7309	Urban Cluster	Y
	Rochester	IN	6218		city 	Y
Mount Carmel		IL		7300	Urban Cluster	n
	Mount Carmel	IL	7284		city 	p
Columbia		MS		7294	Urban Cluster	Y
	Columbia	MS	6582		city 	Y
Ashland		WI		7293	Urban Cluster	n
	Ashland	WI	8216		city 	n
Sandersville		GA		7288	Urban Cluster	n
	Sandersville	GA	5912		city 	n
Morehead		KY		7282	Urban Cluster	n
	Morehead	KY	6845		city 	n
Firebaugh		CA		7281	Urban Cluster	n
	Firebaugh	CA	7549		city 	n
Edinboro		PA		7263	Urban Cluster	n
	Edinboro	PA	6438		borough 	n
Hillsboro		IL		7261	Urban Cluster	n
	Hillsboro	IL	6207		city 	n
Jackson		CA		7255	Urban Cluster	Y
	Jackson	CA	4651		city 	Y
Portage		PA		7247	Urban Cluster	y
	Portage	PA	2638		borough 	y
Crystal City		TX		7236	Urban Cluster	y
	Crystal City	TX	7138		city 	y
Quarryville		PA		7233	Urban Cluster	n
	Quarryville	PA	2576		borough 	n
Lander		WY		7225	Urban Cluster	y
	Lander	WY	7487		city 	y
St. Martinville		LA		7220	Urban Cluster	n
	St. Martinville	LA	6114		city 	p
Wytheville		VA		7212	Urban Cluster	n
	Wytheville	VA	8211		town 	n
Edgerton		WI		7208	Urban Cluster	n
	Edgerton	WI	5461		city 	n
De Soto		MO		7203	Urban Cluster	y
	De Soto	MO	6400		city 	y
Mendota		IL		7195	Urban Cluster	n
	Mendota	IL	7372		city 	n
North Brookfield		MA		7194	Urban Cluster	n
	North Brookfield	MA	2265		CDP 	p
Wauseon		OH		7193	Urban Cluster	n
	Wauseon	OH	7332		city 	n
Breckenridge		CO		7179	Urban Cluster	Y
	Breckenridge	CO	4540		town 	Y
Pahokee		FL		7179	Urban Cluster	n
	Pahokee	FL	5649		city 	n
Barnesville		GA		7167	Urban Cluster	n
	Barnesville	GA	6755		city 	n
Carbondale		CO		7159	Urban Cluster	n
	Carbondale	CO	6427		town 	n
Grove		OK		7158	Urban Cluster	y
	Grove	OK	6623		city 	y
Escalon		CA		7157	Urban Cluster	n
	Escalon	CA	7132		city 	n
Torrington		WY		7155	Urban Cluster	n
	Torrington	WY	6501		city 	n
Chestertown		MD		7153	Urban Cluster	n
	Chestertown	MD	5252		town 	n
Emporia		VA		7143	Urban Cluster	n
	Emporia	VA	5927		city 	n
Ironwood		MI/WI		7134	Urban Cluster	y
	Ironwood	MI	5387		city 	y
Roaring Spring		PA		7130	Urban Cluster	y
	Roaring Spring	PA	2585		borough 	y
Bath		NY		7124	Urban Cluster	y
	Bath	NY	5786		village 	y
Rio Vista		CA		7097	Urban Cluster	y
	Rio Vista	CA	7360		city 	y
Lake Wildwood		CA		7096	Urban Cluster	n
	Lake Wildwood	CA	4991		CDP 	p
Trumann		AR		7095	Urban Cluster	n
	Trumann	AR	7243		city 	n
Estes Park		CO		7082	Urban Cluster	Y
	Estes Park	CO	5858		town 	Y
Winters		CA		7082	Urban Cluster	Y
	Winters	CA	6624		city 	Y
Guadalupe		CA		7080	Urban Cluster	Y
	Guadalupe	CA	7080		city 	Y
Lake Holiday		IL		7072	Urban Cluster	y
	Lake Holiday	IL	4761		CDP 	y
Lawrenceville		IL		7067	Urban Cluster	n
	Lawrenceville	IL	4348		city 	n
Nebraska City		NE		7066	Urban Cluster	y
	Nebraska City	NE	7289		city 	y
Harlan		KY		7065	Urban Cluster	Y
	Harlan	KY	1745		city 	Y
Blairsville		PA		7060	Urban Cluster	n
	Blairsville	PA	3412		borough 	n
Byron		IL		7057	Urban Cluster	Y
	Byron	IL	3753		city 	Y
Oakland		TN		7057	Urban Cluster	Y
	Oakland	TN	6623		town 	Y
International Falls		MN		7055	Urban Cluster	y
	International Falls	MN	6424		city 	y
Abilene		KS		7054	Urban Cluster	Y
	Abilene	KS	6844		city 	Y
Kasson		MN		7048	Urban Cluster	n
	Kasson	MN	5931		city 	n
Keyser		WV/MD		7040	Urban Cluster	n
	Keyser	WV	5439		city 	n
Sitka		AK		7027	Urban Cluster	n
	Sitka	AK	8881		city and borough 	n
Pocono Woodland Lakes		PA		7020	Urban Cluster	y
	Pocono Woodland Lakes	PA	3209		CDP 	y
Fort Payne		AL		7018	Urban Cluster	y
	Fort Payne	AL	14012		city 	y
Woodstock		VA		7017	Urban Cluster	Y
	Woodstock	VA	5097		town 	Y
Strasburg		VA		7015	Urban Cluster	n
	Strasburg	VA	6398		town 	n
Mount Vernon		IN		7011	Urban Cluster	Y
	Mount Vernon	IN	6687		city 	Y
Mount Horeb		WI		6997	Urban Cluster	n
	Mount Horeb	WI	7009		village 	p
Live Oak		FL		6994	Urban Cluster	y
	Live Oak	FL	6850		city 	y
Oelwein		IA		6994	Urban Cluster	n
	Oelwein	IA	6415		city 	n
Quincy		WA		6986	Urban Cluster	Y
	Quincy	WA	6750		city 	Y
Adel		GA		6986	Urban Cluster	n
	Adel	GA	5334		city 	n
Kosciusko		MS		6983	Urban Cluster	Y
	Kosciusko	MS	7402		city 	Y
Greenville		IL		6976	Urban Cluster	n
	Greenville	IL	7000		city 	n
Union Grove		WI		6973	Urban Cluster	y
	Union Grove	WI	4915		village 	y
Eloy		AZ		6963	Urban Cluster	Y
	Eloy	AZ	16631		city 	Y
Waimea (Hawaii County)		HI		6960	Urban Cluster	n
	Waimea (Hawaii County)	HI	9212		CDP 	p
Lewisburg		WV		6959	Urban Cluster	n
	Lewisburg	WV	3830		city 	n
Litchfield		IL		6956	Urban Cluster	n
	Litchfield	IL	6939		city 	n
Ephrata		WA		6956	Urban Cluster	n
	Ephrata	WA	7664		city 	n
Crete		NE		6948	Urban Cluster	Y
	Crete	NE	6960		city 	Y
Camilla		GA		6939	Urban Cluster	Y
	Camilla	GA	5360		city 	Y
Nappanee		IN		6937	Urban Cluster	n
	Nappanee	IN	6648		city 	n
Perry		FL		6933	Urban Cluster	Y
	Perry	FL	7017		city 	Y
Charlestown		IN		6921	Urban Cluster	n
	Charlestown	IN	7585		city 	n
Blackwell		OK		6916	Urban Cluster	Y
	Blackwell	OK	7092		city 	Y
Galax		VA		6915	Urban Cluster	n
	Galax	VA	7042		city 	n
Kiel/New Holstein		WI		6912	Urban Cluster	y
	Kiel	WI	3738		city 	Y
	New Holstein	WI	3236		city 	y
Syracuse		IN		6908	Urban Cluster	Y
	Syracuse	IN	2810		town 	Y
Montezuma		GA		6900	Urban Cluster	Y
	Montezuma	GA	3460		city 	Y
Mexia		TX		6898	Urban Cluster	n
	Mexia	TX	7459		city 	n
Moab		UT		6883	Urban Cluster	n
	Moab	UT	5046		city 	n
Gonzales		TX		6877	Urban Cluster	Y
	Gonzales	TX	7237		city 	Y
Purcell		OK		6877	Urban Cluster	Y
	Purcell	OK	5884		city 	Y
Holtville		CA		6876	Urban Cluster	n
	Holtville	CA	5939		city 	n
Prairie du Chien		WI/IA		6872	Urban Cluster	n
	Prairie du Chien	WI	5911		city 	p
Brewton		AL		6866	Urban Cluster	n
	Brewton	AL	5408		city 	n
Thurmont		MD		6854	Urban Cluster	n
	Thurmont	MD	6170		town 	n
Orange City		IA		6842	Urban Cluster	y
	Orange City	IA	6004		city 	y
Forsyth		MO		6836	Urban Cluster	n
	Forsyth	MO	2255		city 	n
Bedford		VA		6829	Urban Cluster	n
	Bedford	VA	6222		city 	n
Attica		NY		6828	Urban Cluster	Y
	Attica	NY	2547		village 	Y
Lowell		MI		6803	Urban Cluster	Y
	Lowell	MI	3783		city 	Y
Leitchfield		KY		6802	Urban Cluster	n
	Leitchfield	KY	6699		city 	n
Colusa		CA		6791	Urban Cluster	n
	Colusa	CA	5971		city 	n
Franklin		NC		6781	Urban Cluster	Y
	Franklin	NC	3845		town 	Y
Penn Yan		NY		6777	Urban Cluster	n
	Penn Yan	NY	5159		village 	p
Skiatook		OK		6768	Urban Cluster	n
	Skiatook	OK	7397		town 	n
Sedona		AZ		6761	Urban Cluster	n
	Sedona	AZ	10031		city 	n
Huron		CA		6754	Urban Cluster	Y
	Huron	CA	6754		city 	Y
Zuni Pueblo		NM		6744	Urban Cluster	Y
	Zuni Pueblo	NM	6302		CDP 	Y
Cushing		OK		6742	Urban Cluster	n
	Cushing	OK	7826		city 	n
Rushville		IN		6738	Urban Cluster	n
	Rushville	IN	6341		city 	n
Nevada		IA		6728	Urban Cluster	Y
	Nevada	IA	6798		city 	Y
St. Helena		CA		6727	Urban Cluster	Y
	St. Helena	CA	5814		city 	Y
Monticello		KY		6716	Urban Cluster	Y
	Monticello	KY	6188		city 	Y
Slippery Rock		PA		6716	Urban Cluster	y
	Slippery Rock	PA	3625		borough 	y
Beebe		AR		6714	Urban Cluster	Y
	Beebe	AR	7315		city 	Y
Russellville		KY		6714	Urban Cluster	n
	Russellville	KY	6960		city 	n
Dos Palos		CA		6713	Urban Cluster	n
	Dos Palos	CA	4950		city 	p
Marshfield		MO		6701	Urban Cluster	n
	Marshfield	MO	6633		city 	n
Valley City		ND		6689	Urban Cluster	y
	Valley City	ND	6585		city 	y
Sylvester		GA		6685	Urban Cluster	Y
	Sylvester	GA	6188		city 	Y
Jeanerette		LA		6680	Urban Cluster	n
	Jeanerette	LA	5530		city 	n
Grantsville		UT		6673	Urban Cluster	n
	Grantsville	UT	8893		city 	n
Shiprock		NM		6669	Urban Cluster	n
	Shiprock	NM	8295		CDP 	n
Hillsboro		OH		6668	Urban Cluster	n
	Hillsboro	OH	6605		city 	n
Page		AZ		6665	Urban Cluster	Y
	Page	AZ	7247		city 	Y
Salida		CO		6663	Urban Cluster	n
	Salida	CO	5236		city 	n
Red Hook		NY		6661	Urban Cluster	y
	Red Hook	NY	1961		village 	y
Wetumpka		AL		6659	Urban Cluster	n
	Wetumpka	AL	6528		city 	n
Andalusia		AL		6655	Urban Cluster	Y
	Andalusia	AL	9015		city 	Y
Sioux Center		IA		6649	Urban Cluster	y
	Sioux Center	IA	7048		city 	y
Seward		NE		6636	Urban Cluster	Y
	Seward	NE	6964		city 	Y
New Albany		MS		6632	Urban Cluster	y
	New Albany	MS	8034		city 	y
Phelan		CA		6629	Urban Cluster	n
	Phelan	CA	14304		CDP 	n
Washington		IA		6628	Urban Cluster	Y
	Washington	IA	7266		city 	Y
Litchfield		MN		6624	Urban Cluster	n
	Litchfield	MN	6726		city 	n
Commerce		GA		6624	Urban Cluster	y
	Commerce	GA	6544		city 	y
Columbus		WI		6623	Urban Cluster	Y
	Columbus	WI	4991		city 	Y
World Golf Village		FL		6622	Urban Cluster	y
	World Golf Village	FL	12310		CDP 	y
Bealeton		VA		6621	Urban Cluster	n
	Bealeton	VA	4435		CDP 	n
Vistancia		AZ		6615	Urban Cluster	Y
Metropolis		IL		6607	Urban Cluster	y
	Metropolis	IL	6537		city 	y
Taneytown		MD		6599	Urban Cluster	n
	Taneytown	MD	6728		city 	n
Plattsmouth		NE		6596	Urban Cluster	n
	Plattsmouth	NE	6502		city 	n
Sturgis		SD		6583	Urban Cluster	n
	Sturgis	SD	6627		city 	n
Lake Mills		WI		6581	Urban Cluster	y
	Lake Mills	WI	5708		city 	y
Ellenville		NY		6577	Urban Cluster	n
	Ellenville	NY	4135		village 	n
Corry		PA		6571	Urban Cluster	n
	Corry	PA	6605		city 	n
Amory		MS		6566	Urban Cluster	n
	Amory	MS	7316		city 	n
Atmore		AL		6565	Urban Cluster	n
	Atmore	AL	10194		city 	n
Henryetta		OK		6562	Urban Cluster	n
	Henryetta	OK	5927		city 	n
Lexington		TN		6560	Urban Cluster	Y
	Lexington	TN	7652		city 	Y
Kinross		MI		6555	Urban Cluster	Y
Raton		NM		6551	Urban Cluster	n
	Raton	NM	6885		city 	n
Pratt		KS		6546	Urban Cluster	Y
	Pratt	KS	6835		city 	Y
Salem		IN		6544	Urban Cluster	Y
	Salem	IN	6319		city 	Y
Keystone Heights		FL		6544	Urban Cluster	y
	Keystone Heights	FL	1350		city 	y
Northern Cambria		PA		6544	Urban Cluster	n
	Northern Cambria	PA	3835		borough 	p
Rathdrum		ID		6539	Urban Cluster	n
	Rathdrum	ID	6826		city 	n
Buena Vista		VA		6536	Urban Cluster	n
	Buena Vista	VA	6650		city 	p
Senatobia		MS		6531	Urban Cluster	n
	Senatobia	MS	8165		city 	n
Geneseo		IL		6531	Urban Cluster	n
	Geneseo	IL	6586		city 	n
Beardstown		IL		6530	Urban Cluster	n
	Beardstown	IL	6123		city 	n
Soldotna		AK		6526	Urban Cluster	n
	Soldotna	AK	4163		city 	n
Russells Point		OH		6523	Urban Cluster	n
	Russells Point	OH	1391		village 	p
Tipton		IN		6523	Urban Cluster	n
	Tipton	IN	5106		city 	n
Elkin		NC		6521	Urban Cluster	n
	Elkin	NC	4001		town 	n
Bremen		GA		6516	Urban Cluster	Y
	Bremen	GA	6227		city 	Y
Clover		SC		6513	Urban Cluster	y
	Clover	SC	5094		town 	y
Indiantown		FL		6503	Urban Cluster	n
	Indiantown	FL	6083		CDP 	n
Glendive		MT		6494	Urban Cluster	n
	Glendive	MT	4935		city 	n
Carthage		TX		6492	Urban Cluster	Y
	Carthage	TX	6779		city 	Y
Canton		NY		6489	Urban Cluster	Y
	Canton	NY	6314		village 	Y
Seminole		TX		6477	Urban Cluster	Y
	Seminole	TX	6430		city 	Y
Long Beach		MD		6476	Urban Cluster	Y
	Long Beach	MD	1821		CDP 	Y
Atlantic		IA		6471	Urban Cluster	Y
	Atlantic	IA	7112		city 	Y
Du Quoin		IL		6467	Urban Cluster	y
	Du Quoin	IL	6109		city 	y
North East		PA		6456	Urban Cluster	Y
	North East	PA	4294		borough 	Y
Mount Vernon		IA		6455	Urban Cluster	Y
	Mount Vernon	IA	4506		city 	Y
Montgomery		PA		6453	Urban Cluster	Y
	Montgomery	PA	1579		borough 	Y
Catskill		NY		6453	Urban Cluster	Y
	Catskill	NY	4081		village 	Y
Demopolis		AL		6452	Urban Cluster	n
	Demopolis	AL	7483		city 	n
North Branch		MN		6447	Urban Cluster	Y
	North Branch	MN	10125		city 	Y
Rogersville		TN		6444	Urban Cluster	n
	Rogersville	TN	4420		town 	n
Clifton Springs		NY		6444	Urban Cluster	y
	Clifton Springs	NY	2127		village 	y
Kingsland		TX		6433	Urban Cluster	n
	Kingsland	TX	6030		CDP 	n
Hondo		TX		6427	Urban Cluster	n
	Hondo	TX	8803		city 	n
Clinton		IN		6425	Urban Cluster	Y
	Clinton	IN	4893		city 	Y
Cynthiana		KY		6421	Urban Cluster	n
	Cynthiana	KY	6402		city 	n
Genoa		IL		6413	Urban Cluster	Y
	Genoa	IL	5193		city 	Y
Punxsutawney		PA		6394	Urban Cluster	n
	Punxsutawney	PA	5962		borough 	n
Powell		WY		6389	Urban Cluster	Y
	Powell	WY	6314		city 	Y
Au Sable		MI		6384	Urban Cluster	y
	Au Sable	MI	1404		CDP 	y
Fairview		TN		6373	Urban Cluster	n
	Fairview	TN	7720		city 	n
Sidney		NE		6373	Urban Cluster	Y
	Sidney	NE	6757		city 	Y
Homesteads Addition		TX		6372	Urban Cluster	Y
Emmitsburg		MD/PA		6366	Urban Cluster	n
	Emmitsburg	MD	2814		town 	n
Pecan Plantation		TX		6366	Urban Cluster	y
	Pecan Plantation	TX	5294		CDP 	y
Grissom AFB		IN		6359	Urban Cluster	n
	Grissom AFB	IN	5537		CDP 	p
Nelsonville		OH		6359	Urban Cluster	n
	Nelsonville	OH	5392		city 	n
Heber Springs		AR		6357	Urban Cluster	n
