Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
Springfield		MA/CT		621300	Urbanized Area	Y
	Springfield	MA	153060		city 	Y
Concord		CA		615968	Urbanized Area	Y
	Concord	CA	122067		city 	Y
Albany/Schenectady		NY		594962	Urbanized Area	Y
	Albany	NY	97856		city 	Y
	Schenectady	NY	66135		city 	Y
Baton Rouge		LA		594309	Urbanized Area	y
	Baton Rouge	LA	229493		city 	y
Mission Viejo/Lake Forest/San Clemente		CA		583681	Urbanized Area	p
	Mission Viejo	CA	93305		city 	p
	Lake Forest	CA	77264		city 	y
	San Clemente	CA	63522		city 	p
Grand Rapids		MI		569935	Urbanized Area	y
	Grand Rapids	MI	188040		city 	y
Akron		OH		569499	Urbanized Area	Y
	Akron	OH	199110		city 	Y
New Haven		CT		562839	Urbanized Area	y
	New Haven	CT	129779		city 	y
Colorado Springs		CO		559409	Urbanized Area	y
	Colorado Springs	CO	416427		city 	y
Knoxville		TN		558696	Urbanized Area	Y
	Knoxville	TN	178874		city 	Y
Columbia		SC		549777	Urbanized Area	Y
	Columbia	SC	129272		city 	Y
Charleston/North Charleston		SC		548404	Urbanized Area	Y
	Charleston	SC	120083		city 	Y
	North Charleston	SC	97471		city 	Y
Ogden/Layton		UT		546026	Urbanized Area	p
	Ogden	UT	82825		city 	Y
	Layton	UT	67311		city 	n
Cape Coral		FL		530290	Urbanized Area	y
	Cape Coral	FL	154305		city 	y
Bakersfield		CA		523994	Urbanized Area	Y
	Bakersfield	CA	347483		city 	Y
Toledo		OH/MI		507643	Urbanized Area	Y
	Toledo	OH	287208		city 	Y
Worcester		MA/CT		486514	Urbanized Area	Y
	Worcester	MA	181045		city 	Y
Provo/Orem		UT		482819	Urbanized Area	p
	Provo	UT	112488		city 	Y
	Orem	UT	88328		city 	n
Wichita		KS		472870	Urbanized Area	Y
	Wichita	KS	382368		city 	Y
Palm Bay/Melbourne		FL		452791	Urbanized Area	y
	Palm Bay	FL	103190		city 	y
	Melbourne	FL	76068		city 	Y
Des Moines		IA		450070	Urbanized Area	n
	Des Moines	IA	203433		city 	n
Harrisburg		PA		444474	Urbanized Area	Y
	Harrisburg	PA	49528		city 	Y
Murrieta/Temecula/Menifee		CA		441546	Urbanized Area	n
	Murrieta	CA	103466		city 	n
	Temecula	CA	100097		city 	n
	Menifee	CA	77519		city 	n
Little Rock		AR		431388	Urbanized Area	Y
	Little Rock	AR	193524		city 	Y
Poughkeepsie/Newburgh		NY/NJ		423566	Urbanized Area	n
	Poughkeepsie	NY	32736		city 	n
	Newburgh	NY	28866		city 	n
Syracuse		NY		412317	Urbanized Area	Y
	Syracuse	NY	145170		city 	Y
Lancaster		PA		402004	Urbanized Area	Y
	Lancaster	PA	59322		city 	Y
Madison		WI		401661	Urbanized Area	Y
	Madison	WI	233209		city 	Y
Greenville		SC		400492	Urbanized Area	n
	Greenville	SC	58409		city 	n
Reno		NV/CA		392141	Urbanized Area	Y
	Reno	NV	225221		city 	Y
Winston-Salem		NC		391024	Urbanized Area	Y
	Winston-Salem	NC	229617		city 	Y
Spokane		WA		387847	Urbanized Area	Y
	Spokane	WA	208916		city 	Y
Youngstown		OH/PA		387550	Urbanized Area	Y
	Youngstown	OH	66982		city 	Y
Augusta-Richmond County		GA/SC		386787	Urbanized Area	y
	Augusta-Richmond County	GA	195844		consolidated government (balance)	y
Scranton		PA		381502	Urbanized Area	Y
	Scranton	PA	76089		city 	Y
Chattanooga		TN/GA		381112	Urbanized Area	Y
	Chattanooga	TN	167674		city 	Y
Port St. Lucie		FL		376047	Urbanized Area	n
	Port St. Lucie	FL	164603		city 	p
Stockton		CA		370583	Urbanized Area	Y
	Stockton	CA	291707		city 	Y
Oxnard		CA		367260	Urbanized Area	Y
	Oxnard	CA	197899		city 	Y
Denton/Lewisville		TX		366174	Urbanized Area	n
	Denton	TX	113383		city 	n
	Lewisville	TX	95290		city 	n
Modesto		CA		358172	Urbanized Area	Y
	Modesto	CA	201165		city 	Y
Flint		MI		356218	Urbanized Area	Y
	Flint	MI	102434		city 	Y
Jackson		MS		351478	Urbanized Area	Y
	Jackson	MS	173514		city 	Y
Boise City		ID		349684	Urbanized Area	y
	Boise City	ID	205671		city 	y
Palm Coast/Daytona Beach/Port Orange		FL		349064	Urbanized Area	p
	Palm Coast	FL	75180		city 	y
	Daytona Beach	FL	61005		city 	p
	Port Orange	FL	56048		city 	Y
Durham		NC		347602	Urbanized Area	Y
	Durham	NC	228330		city 	Y
Indio/Cathedral City		CA		345580	Urbanized Area	p
	Indio	CA	76036		city 	n
	Cathedral City	CA	51200		city 	y
Lancaster/Palmdale		CA		341219	Urbanized Area	p
	Lancaster	CA	156633		city 	Y
	Palmdale	CA	152750		city 	n
Pensacola		FL/AL		340067	Urbanized Area	Y
	Pensacola	FL	51923		city 	Y
Victorville/Hesperia		CA		328454	Urbanized Area	n
	Victorville	CA	115903		city 	n
	Hesperia	CA	90173		city 	n
Mobile		AL		326183	Urbanized Area	Y
	Mobile	AL	195111		city 	Y
Corpus Christi		TX		320069	Urbanized Area	y
	Corpus Christi	TX	305215		city 	y
Kissimmee		FL		314071	Urbanized Area	n
	Kissimmee	FL	59682		city 	n
Lansing		MI		313532	Urbanized Area	Y
	Lansing	MI	114297		city 	Y
Fort Wayne		IN		313492	Urbanized Area	y
	Fort Wayne	IN	253691		city 	y
Greensboro		NC		311810	Urbanized Area	Y
	Greensboro	NC	269666		city 	Y
Bonita Springs		FL		310298	Urbanized Area	y
	Bonita Springs	FL	43914		city 	y
Fayetteville		NC		310282	Urbanized Area	n
	Fayetteville	NC	200564		city 	n
Santa Rosa		CA		308231	Urbanized Area	Y
